,OBJECTID,District,Khoroo,Hayg,Tsetserleg_ner,Umchiin_helber,Zahiramjiin_dugaar,Tsetserlegiin_hew_shinj,Tsetserlegiin_angilal,Bulgiin_too,huuhdiin_too,Bagsh_ajiltanii_too,huchin_chadal,Tsetserlegiin_erhlegch,hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,created_user,created_date,last_edited_user,last_edited_date,Uil_ajilgaa_ehlesen_on,Barilgiin_ashiglaltand_orosn_on,Utasnii_dugaar,x,y,xy,lat_lon
10,1642,5,10,10-р хорооны ард,49-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012340000,Esri_Anonymous,1561012369000,,,,11884208.18241129,6083123.309879155,"11884208.18241129,6083123.309879155","(47.857154867515085, 106.75765849918339)"
11,1648,5,12,326-р цэргийн замын урд,190-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012771000,Esri_Anonymous,1561012880000,,,,11873251.284934856,6078053.950078822,"11873251.284934856,6078053.950078822","(47.8265901588481, 106.65923101448729)"
12,1637,5,5,41-р сургуулийн зүүн талд,71-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011960000,Esri_Anonymous,1561011982000,,,,11891057.69697798,6085224.414710714,"11891057.69697798,6085224.414710714","(47.86981778761988, 106.81918873542396)"
13,1643,5,10,Морингийн даваа,219-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012384000,Esri_Anonymous,1561012410000,,,,11880152.941062752,6081027.238520853,"11880152.941062752,6081027.238520853","(47.84451920080415, 106.72122964634153)"
14,1654,5,16,Нисэх,243-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561013432000,Esri_Anonymous,1561013455000,,,,11886286.700635497,6083175.373967002,"11886286.700635497,6083175.373967002","(47.85746868427753, 106.77633014607466)"
15,1640,5,8,118-р сургуулийн ард,209-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012153000,Esri_Anonymous,1561012193000,,,,11888435.217680309,6083960.473579994,"11888435.217680309,6083960.473579994","(47.86220064905317, 106.79563060307012)"
0,1234,3,11,Ургах наран,200-р цэцэрлэг,1,,1,3,,,,100.0,,2.0,,,Esri_Anonymous,1560903292000,Esri_Anonymous,1560903387000,,,,11924145.26954234,6085936.002822512,"11924145.26954234,6085936.002822512","(47.87410567937968, 107.11641945691375)"
1,1211,3,4,Сэлэнгэ зочид буудлын урд,191-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902005000,Esri_Anonymous,1560902058000,,,,11905383.062017435,6093839.861953966,"11905383.062017435,6093839.861953966","(47.92170894438699, 106.9478756790793)"
2,856,6,1,1-р эмнэлэгийн баруун хойно,16-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851285000,Esri_Anonymous,1560851312000,,,,11902572.89801507,6092986.709859163,"11902572.89801507,6092986.709859163","(47.91657269766953, 106.92263154633723)"
3,2422,3,21,127-р сургуулийн ард,199-р цэцэрлэг,1,,1,3,,,,200.0,,2.0,,,Esri_Anonymous,1561279391000,Esri_Anonymous,1561279418000,,,,11905026.751336439,6099076.701952233,"11905026.751336439,6099076.701952233","(47.95322521447854, 106.94467488577295)"
4,1606,7,14,5 буудлын баруун талд,126-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560996312000,Esri_Anonymous,1560996340000,,,,11901217.319333022,6099751.428063578,"11901217.319333022,6099751.428063578","(47.95728444376864, 106.91045417584812)"
5,1652,5,3,18-р сургуулийн баруун урд,28-р цэцэрлэг,1,,3,4,,,,,,,,,Esri_Anonymous,1561013237000,Esri_Anonymous,1561013282000,,,,11899402.730449947,6090150.387325713,"11899402.730449947,6090150.387325713","(47.899493469104414, 106.89415344656751)"
